AAA
AAD
AAD imm8u
AAM
AAM imm8u
AAS
ADC AL, imm8u
VPHADDSW ymm1, ymm2, ymm3/m256
VPHADDW xmm1, xmm2, xmm3/m128
VPHADDW ymm1, ymm2, ymm3/m256
VPHMINPOSUW xmm1, xmm2/m128
VPHSUBD xmm1, xmm2, xmm3/m128
VPHSUBD ymm1, ymm2, ymm3/m256
VPHSUBSW xmm1, xmm2, xmm3/m128
VPHSUBSW ymm1, ymm2, ymm3/m256
VPHSUBW xmm1, xmm2, xmm3/m128
VPHSUBW ymm1, ymm2, ymm3/m256
VPINSRB xmm1, xmm2, r32/m8, imm8
VPINSRD xmm1, xmm2, r/m32, imm8
VPINSRQ xmm1, xmm2, r/m64, imm8
VPINSRW xmm1, xmm2, r32/m16, imm8
VPMADDUBSW xmm1, xmm2, xmm3/m128
VPMADDUBSW ymm1, ymm2, ymm3/m256
VPMADDWD xmm1, xmm2, xmm3/m128
VPMADDWD ymm1, ymm2, ymm3/m256
VPMASKMOVD m128, xmm1, xmm2
VPMASKMOVD m256, ymm1, ymm2
VPMASKMOVD xmm1, xmm2, m128
VPMASKMOVD ymm1, ymm2, m256
VPMASKMOVQ m128, xmm1, xmm2
VPMASKMOVQ m256, ymm1, ymm2
VPMASKMOVQ xmm1, xmm2, m128
VPMASKMOVQ ymm1, ymm2, m256
VPMAXSB xmm1, xmm2, xmm3/m128
VPMAXSB ymm1, ymm2, ymm3/m256
VPMAXSD xmm1, xmm2, xmm3/m128
VPMAXSD ymm1, ymm2, ymm3/m256
VPMAXSW xmm1, xmm2, xmm3/m128
VPMAXSW ymm1, ymm2, ymm3/m256
VPMAXUB xmm1, xmm2, xmm3/m128
VPMAXUB ymm1, ymm2, ymm3/m256
VPMAXUD xmm1, xmm2, xmm3/m128
VPMAXUD ymm1, ymm2, ymm3/m256
VPMAXUW xmm1, xmm2, xmm3/m128
VPMAXUW ymm1, ymm2, ymm3/m256
VPMINSB xmm1, xmm2, xmm3/m128
VPMINSB ymm1, ymm2, ymm3/m256
VPMINSD xmm1, xmm2, xmm3/m128
VPMINSD ymm1, ymm2, ymm3/m256
VPMINSW xmm1, xmm2, xmm3/m128
VPMINSW ymm1, ymm2, ymm3/m256
VPMINUB xmm1, xmm2, xmm3/m128
VPMINUB ymm1, ymm2, ymm3/m256
VPMINUD xmm1, xmm2, xmm3/m128
VPMINUD ymm1, ymm2, ymm3/m256
VPMINUW xmm1, xmm2, xmm3/m128
VPMINUW ymm1, ymm2, ymm3/m256
VPMOVMSKB r32, xmm1
VPMOVMSKB r32, ymm1
VPMOVSXBD xmm1, xmm2/m32
VPMOVSXBD ymm1, xmm2/m64
VPMOVSXBQ xmm1, xmm2/m16
VPMOVSXBQ ymm1, xmm2/m32
VPMOVSXBW xmm1, xmm2/m64
VPMOVSXBW ymm1, xmm2/m128
VPMOVSXDQ xmm1, xmm2/m64
VPMOVSXWD xmm1, xmm2/m64
VPMOVSXWD ymm1, xmm2/m128
VPMOVSXWQ xmm1, xmm2/m32
VPMOVZXBD xmm1, xmm2/m32
VPMOVZXBD ymm1, xmm2/m64
VPMOVZXBQ xmm1, xmm2/m16
VPMOVZXBQ ymm1, xmm2/m32
VPMOVZXBW xmm1, xmm2/m64
VPMOVZXBW ymm1, xmm2/m128
VPMOVZXDQ xmm1, xmm2/m64
VPMOVZXWD xmm1, xmm2/m64
VPMOVZXWD ymm1, xmm2/m128
VPMOVZXWQ xmm1, xmm2/m32
VPMULDQ xmm1, xmm2, xmm3/m128
VPMULDQ ymm1, ymm2, ymm3/m256
VPMULHRSW xmm1, xmm2, xmm3/m128
VPMULHRSW ymm1, ymm2, ymm3/m256
VPMULHUW xmm1, xmm2, xmm3/m128
VPMULHUW ymm1, ymm2, ymm3/m256
VPMULHW xmm1, xmm2, xmm3/m128
VPMULHW ymm1, ymm2, ymm3/m256
VPMULLD xmm1, xmm2, xmm3/m128
VPMULLD ymm1, ymm2, ymm3/m256
VPMULLW xmm1, xmm2, xmm3/m128
VPMULLW ymm1, ymm2, ymm3/m256
VPMULUDQ xmm1, xmm2, xmm3/m128
VPMULUDQ ymm1, ymm2, ymm3/m256
VPOR xmm1, xmm2, xmm3/m128
VPOR ymm1, ymm2, ymm3/m256
VPSADBW xmm1, xmm2, xmm3/m128
VPSADBW ymm1, ymm2, ymm3/m256
VPSHUFB xmm1, xmm2, xmm3/m128
VPSHUFB ymm1, ymm2, ymm3/m256
VPSHUFD xmm1, xmm2/m128, imm8u
VPSHUFD ymm1, ymm2/m256, imm8u
VPSHUFHW xmm1, xmm2/m128, imm8u
VPSHUFHW ymm1, ymm2/m256, imm8u
VPSHUFLW xmm1, xmm2/m128, imm8u
VPSHUFLW ymm1, ymm2/m256, imm8u
VPSIGNB xmm1, xmm2, xmm3/m128
VPSIGNB ymm1, ymm2, ymm3/m256
VPSIGND xmm1, xmm2, xmm3/m128
VPSIGND ymm1, ymm2, ymm3/m256
VPSIGNW xmm1, xmm2, xmm3/m128
VPSIGNW ymm1, ymm2, ymm3/m256
VPSLLD xmm1, xmm2, imm8u
VPSLLD xmm1, xmm2, xmm3/m128
VPSLLDQ xmm1, xmm2, imm8u
VPSLLDQ ymm1, ymm2, imm8u
VPSLLQ xmm1, xmm2, imm8u
VPSLLQ xmm1, xmm2, xmm3/m128
VPSLLVD xmm1, xmm2, xmm3/m128
VPSLLVD ymm1, ymm2, ymm3/m256
VPSLLVQ xmm1, xmm2, xmm3/m128
VPSLLVQ ymm1, ymm2, ymm3/m256
VPSLLW xmm1, xmm2, imm8u
VPSLLW xmm1, xmm2, xmm3/m128
VPSLLW ymm1, ymm2, imm8u
VPSLLW ymm1, ymm2, xmm3/m128
VPSRAD xmm1, xmm2, imm8u
VPSRAD xmm1, xmm2, xmm3/m128
VPSRAD ymm1, ymm2, imm8u
VPSRAD ymm1, ymm2, xmm3/m128
VPSRAVD xmm1, xmm2, xmm3/m128
VPSRAVD ymm1, ymm2, ymm3/m256
VPSRAW xmm1, xmm2, imm8u
VPSRAW xmm1, xmm2, xmm3/m128
VPSRAW ymm1, ymm2, imm8u
VPSRAW ymm1, ymm2, xmm3/m128
VPSRLD xmm1, xmm2, imm8u
VPSRLD xmm1, xmm2, xmm3/m128
VPSRLDQ xmm1, xmm2, imm8u
VPSRLDQ ymm1, ymm2, imm8u
VPSRLQ xmm1, xmm2, imm8u
VPSRLQ xmm1, xmm2, xmm3/m128
VPSRLVD xmm1, xmm2, xmm3/m128
VPSRLVD ymm1, ymm2, ymm3/m256
VPSRLVQ xmm1, xmm2, xmm3/m128
VPSRLVQ ymm1, ymm2, ymm3/m256
VPSRLW xmm1, xmm2, imm8u
VPSRLW xmm1, xmm2, xmm3/m128
VPSRLW ymm1, ymm2, imm8u
VPSRLW ymm1, ymm2, xmm3/m128
VPSUBB xmm1, xmm2, xmm3/m128
VPSUBB ymm1, ymm2, ymm3/m256
VPSUBD xmm1, xmm2, xmm3/m128
VPSUBD ymm1, ymm2, ymm3/m256
VPSUBQ xmm1, xmm2, xmm3/m128
VPSUBQ ymm1, ymm2, ymm3/m256
VPSUBSB xmm1, xmm2, xmm3/m128
VPSUBSB ymm1, ymm2, ymm3/m256
VPSUBSW xmm1, xmm2, xmm3/m128
VPSUBSW ymm1, ymm2, ymm3/m256
VPSUBUSB xmm1, xmm2, xmm3/m128
VPSUBUSB ymm1, ymm2, ymm3/m256
VPSUBUSW xmm1, xmm2, xmm3/m128
VPSUBUSW ymm1, ymm2, ymm3/m256
VPSUBW xmm1, xmm2, xmm3/m128
VPSUBW ymm1, ymm2, ymm3/m256
VPTEST xmm1, xmm2/m128
VPTEST ymm1, ymm2/m256
VPUNPCKHBW xmm1, xmm2, xmm3/m128
VPUNPCKHBW ymm1, ymm2, ymm3/m256
VPUNPCKHDQ xmm1, xmm2, xmm3/m128
VPUNPCKHDQ ymm1, ymm2, ymm3/m256
VPUNPCKHQDQ xmm1, xmm2, xmm3/m128
VPUNPCKHQDQ ymm1, ymm2, ymm3/m256
VPUNPCKHWD xmm1, xmm2, xmm3/m128
VPUNPCKHWD ymm1, ymm2, ymm3/m256
VPUNPCKLBW xmm1, xmm2, xmm3/m128
VPUNPCKLBW ymm1, ymm2, ymm3/m256
VPUNPCKLDQ xmm1, xmm2, xmm3/m128
VPUNPCKLDQ ymm1, ymm2, ymm3/m256
VPUNPCKLQDQ xmm1, xmm2, xmm3/m128
VPUNPCKLQDQ ymm1, ymm2, ymm3/m256
VPUNPCKLWD xmm1, xmm2, xmm3/m128
VPUNPCKLWD ymm1, ymm2, ymm3/m256
VPXOR xmm1, xmm2, xmm3/m128
VPXOR ymm1, ymm2, ymm3/m256
VRCPPS xmm1, xmm2/m128
VRCPPS ymm1, ymm2/m256
VRCPSS xmm1, xmm2, xmm3/m32
VROUNDPD xmm1, xmm2/m128, imm8
VROUNDPD ymm1, ymm2/m256, imm8
VROUNDPS xmm1, xmm2/m128, imm8
VROUNDPS ymm1, ymm2/m256, imm8
VROUNDSD xmm1, xmm2, xmm3/m64, imm8
VROUNDSS xmm1, xmm2, xmm3/m32, imm8
VRSQRTPS xmm1, xmm2/m128
VRSQRTPS ymm1, ymm2/m256
VRSQRTSS xmm1, xmm2, xmm3/m32
VSHUFPD xmm1, xmm2, xmm3/m128, imm8
VSHUFPD ymm1, ymm2, ymm3/m256, imm8
VSHUFPS xmm1, xmm2, xmm3/m128, imm8
VSHUFPS ymm1, ymm2, ymm3/m256, imm8
VSQRTPD xmm1, xmm2/m128
VSQRTPD ymm1, ymm2/m256
VSQRTPS xmm1, xmm2/m128
VSQRTPS ymm1, ymm2/m256
VSQRTSD xmm1, xmm2, xmm3/m64
VSQRTSS xmm1, xmm2, xmm3/m32
VSTMXCSR m32
VSUBPD xmm1, xmm2, xmm3/m128
VSUBPD ymm1, ymm2, ymm3/m256
VSUBPS xmm1, xmm2, xmm3/m128
VSUBPS ymm1, ymm2, ymm3/m256
VSUBSD xmm1, xmm2, xmm3/m64
VSUBSS xmm1, xmm2, xmm3/m32
VTESTPD xmm1, xmm2/m128
VTESTPD ymm1, ymm2/m256
VTESTPS xmm1, xmm2/m128
VTESTPS ymm1, ymm2/m256
VUCOMISD xmm1, xmm2/m64
VUCOMISS xmm1, xmm2/m32
VUNPCKHPD xmm1, xmm2, xmm3/m128
VUNPCKHPD ymm1,ymm2, ymm3/m256
VUNPCKHPS xmm1, xmm2, xmm3/m128
VUNPCKHPS ymm1,ymm2,ymm3/m256
VUNPCKLPD xmm1, xmm2, xmm3/m128
VUNPCKLPD ymm1,ymm2, ymm3/m256
VUNPCKLPS xmm1, xmm2, xmm3/m128
VUNPCKLPS ymm1,ymm2,ymm3/m256
VXORPD xmm1, xmm2, xmm3/m128
VXORPD ymm1, ymm2, ymm3/m256
VXORPS xmm1, xmm2, xmm3/m128
VXORPS ymm1, ymm2, ymm3/m256
VZEROALL
VZEROUPPER
WAIT
WBINVD
WRFSBASE r/m32
WRFSBASE r/m64
WRGSBASE r/m32
WRGSBASE r/m64
WRMSR
XABORT imm8u
XACQUIRE
XADD r/m16, r16
XADD r/m32, r32
XADD r/m64, r64
XADD r/m8, r8
XBEGIN rel16
XBEGIN rel32
XCHG AX, r16op
XCHG EAX, r32op
XCHG RAX, r64op
XCHG r/m16, r16
XCHG r/m32, r32
XCHG r/m64, r64
XCHG r/m8, r8
XCHG r16, r/m16
XCHG r16op, AX
XCHG r32, r/m32
XCHG r32op, EAX
XCHG r64, r/m64
XCHG r64op, RAX
XCHG r8, r/m8
XEND
XGETBV
XLAT m8
XLATB
XOR AL, imm8u
XOR AX, imm16
XOR EAX, imm32
XOR RAX, imm32
XOR r/m16, imm16
XOR r/m16, imm8
XOR r/m16, r16
XOR r/m32, imm32
XOR r/m32, imm8
XOR r/m32, r32
XOR r/m64, imm32
XOR r/m64, imm8
XOR r/m64, r64
XOR r/m8, imm8u
XOR r/m8, r8
XOR r16, r/m16
XOR r32, r/m32
XOR r64, r/m64
XOR r8, r/m8
XORPD xmm1, xmm2/m128
XORPS xmm1, xmm2/m128
XRELEASE
XRSTOR mem
XRSTOR64 mem
XRSTORS mem
XRSTORS64 mem
XSAVE mem
XSAVE64 mem
XSAVEC mem
XSAVEC64 mem
XSAVEOPT mem
XSAVEOPT64 mem
XSAVES mem
XSAVES64 mem
XSETBV
XTEST
